date,oblast,precip_mm,ndvi,temp_c,vhi,spi,temp_anomaly,drought_risk
2024-12-01,Karagandinskaya,30.5117504685057,-0.005490377407630632,-8.56191626289791,5.509753201010067,0.8891119042290887,0.10223833963808075,38.00057539887214
2015-01-01,Kustanayskaya,14.049080093592236,-0.02786763398166073,-13.281317991902938,2.1619327680264004,0.4268719595553816,-0.09519004537206356,39.13522689278944
2015-02-01,Kustanayskaya,12.968720970921586,-0.029339017681403887,-10.938273981422242,1.8761967239354953,1.056927643761765,-0.14114930621999186,39.249521310425806
2015-03-01,Kustanayskaya,7.485007006213474,-0.028321992715420713,-5.143695309305542,2.0736983617288507,-0.4606203336233499,-0.3788677696745691,42.855483324295264
2015-04-01,Kustanayskaya,25.749658131453927,0.21809191551820326,5.73000446325949,49.92616224313907,1.000640874188157,-1.0424532895282865,20.029535102744376
2015-05-01,Kustanayskaya,30.04079147567104,0.4350204463356352,15.513725514027158,92.05269949990289,2.062425974946174,0.05382603396970197,3.2865722679782494
2015-06-01,Kustanayskaya,21.942356658666718,0.44553532285510666,23.261048558805953,94.09464085164043,0.5230046887076223,1.7342853879039,5.830714435151626
2015-07-01,Kustanayskaya,13.902228982581937,0.40044409121547503,21.962492155993573,85.33812808468232,-0.1805151130800038,-0.9697328792364132,7.308869670767101
2015-08-01,Kustanayskaya,11.481055643431262,0.31431727613539645,19.27070270055202,68.61269104509405,-0.18689006949491857,-1.1183153937631165,14.050044137921727
2015-09-01,Kustanayskaya,8.117953152728369,0.25048934047839544,14.65404264153284,56.21759529929783,-0.727571698316811,0.7839550676897015,24.90144560219476
2015-10-01,Kustanayskaya,19.635725170743026,0.1930000609830923,3.634531129962795,45.053437844317344,0.03229915939122501,-0.9939032167529024,21.978624862273065
2015-11-01,Kustanayskaya,38.535353311593376,0.05703330018034642,-4.536273322199634,18.649309290757362,2.5734059754591425,-0.2320948962971457,32.54027628369706
2015-12-01,Kustanayskaya,20.26072277421884,-0.003472648926255225,-5.648966180644209,6.89932827309085,0.3399302930036896,1.6399871554941445,40.52024300175195
2016-01-01,Kustanayskaya,16.247640497467305,-0.024706459804264648,-14.597028681996278,2.7758184623487936,1.204723104475411,-0.5976509761414233,38.88967261506048
